model,model_family,dataset,attack,range_name,start_qf,end_qf,schedule,generations,qfs,clean_accuracy,clean_correct,no_defense_asr,no_defense_successes,asr,ci_low,ci_high,successes,total
cifar_resnet18,standard_cifar,cifar10,pgd,R3,90,60,geometric,5,"90,86,80,72,60",0.625,160,1.0,160,0.9125,0.858493682378104,0.9471632066054044,146,160
cifar_resnet18,standard_cifar,cifar10,pgd,R3,90,60,arithmetic,3,"90,75,60",0.625,160,1.0,160,0.85,0.7865061198301088,0.8970815435498376,136,160
cifar_resnet18,standard_cifar,cifar10,pgd,R3,90,60,arithmetic,5,"90,83,75,68,60",0.625,160,1.0,160,0.89375,0.8364379048857311,0.9325982164167088,143,160
cifar_resnet18,standard_cifar,cifar10,pgd,R3,90,60,fixed,3,"75,75,75",0.625,160,1.0,160,0.89375,0.8364379048857311,0.9325982164167088,143,160
cifar_resnet18,standard_cifar,cifar10,pgd,R3,90,60,fixed,5,"75,75,75,75,75",0.625,160,1.0,160,0.89375,0.8364379048857311,0.9325982164167088,143,160
cifar_resnet18,standard_cifar,cifar10,pgd,R3,90,60,front_loaded,3,"60,80,90",0.625,160,1.0,160,0.74375,0.6709441826005734,0.8051257972533179,119,160
cifar_resnet18,standard_cifar,cifar10,pgd,R3,90,60,front_loaded,5,"60,72,80,86,90",0.625,160,1.0,160,0.6,0.5226048369682189,0.67270592399748,96,160
robustbench_wong2020fast,robustbench_cifar,cifar10,pgd,R1,75,50,geometric,3,"75,65,50",0.859375,220,0.4727272727272727,104,0.4818181818181818,0.416671801357884,0.547588617412848,106,220
robustbench_wong2020fast,robustbench_cifar,cifar10,pgd,R1,75,50,geometric,5,"75,70,65,58,50",0.859375,220,0.4727272727272727,104,0.4545454545454545,0.3900911009687571,0.5205599459580732,100,220
robustbench_wong2020fast,robustbench_cifar,cifar10,pgd,R1,75,50,arithmetic,3,"75,63,50",0.859375,220,0.4727272727272727,104,0.4636363636363636,0.3989299084434922,0.529590929097972,102,220
robustbench_wong2020fast,robustbench_cifar,cifar10,pgd,R1,75,50,arithmetic,5,"75,69,63,56,50",0.859375,220,0.4727272727272727,104,0.4636363636363636,0.3989299084434922,0.529590929097972,102,220
robustbench_wong2020fast,robustbench_cifar,cifar10,pgd,R1,75,50,fixed,3,"62,62,62",0.859375,220,0.4727272727272727,104,0.4409090909090909,0.3768733230812539,0.5069730379236257,97,220
robustbench_wong2020fast,robustbench_cifar,cifar10,pgd,R1,75,50,fixed,5,"62,62,62,62,62",0.859375,220,0.4727272727272727,104,0.4409090909090909,0.3768733230812539,0.5069730379236257,97,220
robustbench_wong2020fast,robustbench_cifar,cifar10,pgd,R1,75,50,front_loaded,3,"50,65,75",0.859375,220,0.4727272727272727,104,0.4181818181818181,0.3549526092230031,0.4842192752452916,92,220
robustbench_wong2020fast,robustbench_cifar,cifar10,pgd,R1,75,50,front_loaded,5,"50,58,65,70,75",0.859375,220,0.4727272727272727,104,0.4,0.3375156137462705,0.4659166894927565,88,220
robustbench_wong2020fast,robustbench_cifar,cifar10,pgd,R2,85,55,geometric,3,"85,74,55",0.859375,220,0.4727272727272727,104,0.4954545454545455,0.4300342275045704,0.5610308771881127,109,220
robustbench_wong2020fast,robustbench_cifar,cifar10,pgd,R2,85,55,geometric,5,"85,80,74,66,55",0.859375,220,0.4727272727272727,104,0.4863636363636364,0.4211206181365788,0.5520746959414703,107,220
robustbench_wong2020fast,robustbench_cifar,cifar10,pgd,R2,85,55,arithmetic,3,"85,70,55",0.859375,220,0.4727272727272727,104,0.4772727272727273,0.4122283154809688,0.5430972079824463,105,220
robustbench_wong2020fast,robustbench_cifar,cifar10,pgd,R2,85,55,arithmetic,5,"85,78,70,63,55",0.859375,220,0.4727272727272727,104,0.5,0.4344990149021872,0.5655009850978129,110,220
robustbench_wong2020fast,robustbench_cifar,cifar10,pgd,R2,85,55,fixed,3,"70,70,70",0.859375,220,0.4727272727272727,104,0.45,0.3856797699680784,0.5160363816514351,99,220
robustbench_wong2020fast,robustbench_cifar,cifar10,pgd,R2,85,55,fixed,5,"70,70,70,70,70",0.859375,220,0.4727272727272727,104,0.45,0.3856797699680784,0.5160363816514351,99,220
robustbench_wong2020fast,robustbench_cifar,cifar10,pgd,R2,85,55,front_loaded,3,"55,74,85",0.859375,220,0.4727272727272727,104,0.4409090909090909,0.3768733230812539,0.5069730379236257,97,220
robustbench_wong2020fast,robustbench_cifar,cifar10,pgd,R2,85,55,front_loaded,5,"55,66,74,80,85",0.859375,220,0.4727272727272727,104,0.4,0.3375156137462705,0.4659166894927565,88,220
robustbench_wong2020fast,robustbench_cifar,cifar10,pgd,R3,90,60,geometric,3,"90,80,60",0.859375,220,0.4727272727272727,104,0.4727272727272727,0.4077901663649076,0.5386004617911906,104,220
